0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:00 +0900] "POST /Nexon/nexon.gd?type=joinForm HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:02 +0900] "GET /Nexon/idCheckForm.jsp HTTP/1.1" 404 1140
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/index.jsp HTTP/1.1" 200 24487
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/css/main.css HTTP/1.1" 200 11144
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/css/menu.css HTTP/1.1" 200 9847
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/css/mobile_main.css HTTP/1.1" 200 4753
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/js/jquery-2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/js/jquery-ui.min.js HTTP/1.1" 200 239564
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/js/jquery.easing.1.3.js HTTP/1.1" 200 8097
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/css/banner.css HTTP/1.1" 200 10927
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/js/prefixfree.min.js HTTP/1.1" 200 6242
0:0:0:0:0:0:0:1 - - [07/Aug/2020:10:49:22 +0900] "GET /Nexon/js/menu.js HTTP/1.1" 200 2078
